#Key+A955,String,Size,Notes
COMMON_1TURN,1 Year,,
COMMON_NTURNS,%s Years,,

AIPOLICY_DIALOG_TITLE,Choose AI Policy,,
AIPOLICY_DIALOG_DESC,"The AI policy determines the behavior of your replacement AI, should you leave mid-game.",,
AIPOLICY_MAINTAIN,Maintain,,
AIPOLICY_MAINTAIN_DESC,"AI will continue researching new projects, but will otherwise leave your empire as is.",,
AIPOLICY_DEFEND,Defend,,
AIPOLICY_DEFEND_DESC,"AI will defend existing colonies, but will not explore or colonize new systems, or attack other players.",,
AIPOLICY_EXPAND,Expand,,
AIPOLICY_EXPAND_DESC,AI will attempt to expand your empire and defeat your enemies.,,

SHIPCLASS_DESTROYER,Destroyer,,
SHIPCLASS_CRUISER,Cruiser,,
SHIPCLASS_DREADNOUGHT,Dreadnought,,
SHIPCLASS_DE,DE,,Abbreviation for standard size starship
SHIPCLASS_CR,CA,,Abbreviation for large size starship
SHIPCLASS_DN,DN,,Abbreviation for huge size starship

NETERROR_REJECTED,Connection rejected by host.,,
NETERROR_HOSTNOTREADY,Host not ready.,,
NETERROR_INVALIDCONREQUEST,Invalid connection request.,,
NETERROR_INVALIDGAMEDATA,Invalid game data.,,
NETERROR_INVALIDVERSION,Invalid game version.,,
NETERROR_INVALIDPASSWORD,Invalid password.,,
NETERROR_GAMEFULL,Game full.,,
NETERROR_NOCONNECTION,No connection.,,
NETERROR_INVALIDADDRESS,Invalid address.,,
NETERROR_TIMEDOUT,Connection timed out.,,
NETERROR_NATERROR,NAT negotiation failed.,,
NETERROR_GENERIC,Network error,,
NETERROR_HOSTSHUTDOWN,Host terminated session.,,
NETERROR_KICKED,Kicked by host.,,
NETERROR_KICKED_REASON,Kicked by host: %s,511,params: message from host
AUTOJOINERR_TITLE,Connection Error,,
AUTOJOINERR_NOADDRESS,Missing host address for '/join' command.,,
AUTOJOINERR_INVALIDADDRESS,Invalid address format for '/join' command.\n Address must be of the form 'xxx.xxx.xxx.xxx[:port]'\n,,

JOINGAMEDLG_CONNECTING,Connecting to host...,,
JOINGAMEDLG_CANCELLING,Canceling...,,

ENDGAMESPLASH_WIN_LOCALPLAYER,You\nare,,
ENDGAMESPLASH_WIN_LOCALPLAYER_BOLD,VICTORIOUS!,,
ENDGAMESPLASH_WIN_OTHERPLAYER_SINGLE,is,,preceded by name of winning player
ENDGAMESPLASH_WIN_OTHERPLAYER_SINGLE_BOLD,VICTORIOUS!,,
ENDGAMESPLASH_WIN_OTHERPLAYER_TEAM,are,,preceded by names of winning players
ENDGAMESPLASH_WIN_OTHERPLAYER_TEAM_BOLD,VICTORIOUS!,,
ENDGAMESPLASH_DRAW,Game ends in a,,
ENDGAMESPLASH_DRAW_BOLD,DRAW,,

CHATERR_CANNOT_SEND,Cannot send '%s',,params: message(which couldn't be sent). This error message occurs when user cannot send a message.
CHATCHANNEL_BROADCAST,Broadcast,,"Channel name, messages are sent to all other players."
CHATCHANNEL_ALLIANCE,Alliance,,"Channel name, messages are sent only to the players allied with the sender."
CHATCHANNEL_TELL,Tell,,"Channel name, messages sent only to specified player."

PLAGUENAME_BASIC,Plague,,
PLAGUENAME_RETRO,Retro-Plague,,
PLAGUENAME_BEAST,Beast Plague,,
PLAGUENAME_ASSIMILATION,Assimilation Plague,,
PLAGUENAME_NANO,Nano Virus,,

SECTIONNAME_MISSION,Mission,,
SECTIONNAME_COMMAND,Bridge,,
SECTIONNAME_ENGINE,Engine,,

REBELAI_NAME1,Guardian
REBELAI_NAME2,Chandra
REBELAI_NAME3,Dillinger
REBELAI_NAME4,Daystrom
REBELAI_NAME5,Knight
REBELAI_NAME6,Singularity
REBELAI_NAME7,Dyson
REBELAI_NAME8,Spengler

UICSTR_OPTIONS,Options
UICSTR_TOGGLE_CHAT,Toggle Chat

UICSTR_OPEN_BUILD,Build Screen
UICSTR_OPEN_RESEARCH,Research Screen
UICSTR_OPEN_DESIGN,Design Screen
UICSTR_OPEN_EMPIRE,Empire Summary
UICSTR_OPEN_FLEETMAN,Fleet Management
UICSTR_MOVEFLEET,Move Fleet
UICSTR_FOCUSHOME,Home System
UICSTR_COLONIZE,Colonize
UICSTR_DEPLOY,Deploy Gate
UICSTR_REFUEL,Refuel
UICSTR_REPAIR,Repair
UICSTR_REFINE,Refine
UICSTR_MINE,Mine
UICSTR_STOP,Stop
UICSTR_DUMPORE,Dump Ore
UICSTR_SCUTTLE,Scuttle
UICSTR_DUMPSLAVES,Transfer Slaves
UICSTR_AUTOREFUEL,Auto-refuel
UICSTR_AUTOREPAIR,Auto-repair
UICSTR_SETAIPOLICY,Set AI Policy
UICSTR_SAVEGAME,Save
UICSTR_QUITGAME,Quit to Main Menu

UICSTR_TAC_PAUSE,Pause
UICSTR_TAC_SINGLE_STEP,Single-Step
UICSTR_TAC_TOGGLE_SENSORS,Toggle Sensors
UICSTR_TAC_ALL_STOP,All Stop
UICSTR_TAC_FOCUS,Focus
UICSTR_TAC_CLEAR_TARGETS,Clear Targets
UICSTR_TAC_CLEAR_SELECTION,Clear Selection
UICSTR_TAC_TOGGLE_HUD,Toggle HUD
UICSTR_TAC_TOGGLE_RESERVES,Toggle Reserves
UICSTR_TAC_TOGGLE_WEAPONS,Toggle Weapon Panel
UICSTR_TAC_TOGGLE_CLOAK,Toggle Cloak
UICSTR_TAC_NEXT_SHIP,Next Ship,,
UICSTR_TAC_PREV_SHIP,Previous Ship,,
UICSTR_TAC_RELEASE_GRAPPLE,Release Grapple,,

UIC_TOGGLE_ENEMY_NODEPATHS,Toggle Enemy Nodelines,,
UIC_BEGIN_COMM,Open Comm,,

LOCATION_AT,at,5,preposition to location name
LOCATION_IN,in,5,preposition to Deep Space

FLEETNAME_GATES,Deployed Gates,,Name of the fleet which makes up all deployed gates in a system.
FLEETNAME_DEFENCES,Defenses,,Name of the fleet of defense satellites in a system.
FLEETNAME_FREIGHTERS,Freighters,,
FLEETNAME_PATROLSHIPS,Escorts,,

FLEETMAN_NOLAYOUT,Fleet Layout\nNot Available,,Displayed in the layout grid when no layout is available.
FLEETMAN_FIRSTWAVE,First Wave,,
FLEETMAN_RESERVES,Reinforcements,,
FLEETMAN_SQUADS,Squads,,
FLEETMAN_RENAMEFLEET,Rename Fleet,,Appears on main button in fleet manager.
FLEETMAN_COMMANDCOST,Command Cost,,
FLEETMAN_COMMANDQUOTA,Command Quota,,

MAPSHAPE_SPHERE,Sphere,,
MAPSHAPE_CLUSTERS,Clusters,,
MAPSHAPE_SPIRAL,Spiral,,
MAPSHAPE_ARM,Arm,,
MAPSHAPE_HOURGLASS,Hourglass,,
MAPSHAPE_RIFT,Rift,,
MAPSHAPE_CUSTOM,Custom,,
MAPSHAPE_HOLLOW,Hollow Sphere,,
MAPSHAPE_COLLISION,Galactic Collision,,
MAPSHAPE_2D,2D,,
MAPSHAPE_GLOBULAR,Globular Clusters,,
MAPSHAPE_RANDOM,Random,,
MAPSHAPE_TUBE,Tube,,
MAPSHAPE_RING,Ring,,
MAPSHAPE_NURSERY,Stellar Nursery,,
MAPSHAPE_BARRED,Barred,,

GAMECARD_MAPSHAPE,Galaxy Type: %s,127,"params: shape of map, NOTE: A gamecard is the area that displays additional game information when you select it from either the load game list, or the server list in multiplayer"
GAMECARD_NUMSTARS,%s Stars,127,params: number of stars
GAMELIST_ITEM_NUMPLAYERS,%s Players,127,params: number of players
GAMELIST_ITEM_TURN,Year %s,127,params: year number
GAMELIST_BTN_DELETE,Delete,,

GAMESETUPFE_BTN_CUSTOM,Custom,,
GAMESETUPFE_BTN_SCENARIO,Scenario
GAMESETUPFE_BTN_SINGLEPLAYER,Single Player
GAMESETUPFE_BTN_LAN,LAN
GAMESETUPFE_BTN_INTERNET,Internet
GAMESETUPFE_TITLE_SINGLEPLAYER,Play Single Player
GAMESETUPFE_TITLE_HOSTMULTI,Host Multiplayer
GAMESETUPFE_TITLE_JOINMULTI,Join Multiplayer
GAMESETUPFE_TITLE_LOADGAME,Load Game

GAMESETUP_CUSTOM_TITLE,Custom Game Setup
GAMESETUP_SCENARIO_TITLE,Scenario Game Setup
GAMESETUP_CREATE_BTN,Create Game
GAMESETUP_CANCEL_BTN,Cancel Game
GAMESETUP_MAPSHAPES_TITLE,Star Map Setup
GAMESETUP_NUMSTARS,Star Density
GAMESETUP_SPECIES_TITLE,Available\nSpecies
GAMESETUP_SPECIES_PLAYERUNITS,Players,,Units displayed in the edit field for max num players.
GAMESETUP_MONEY_INCOMEMOD,Economic Efficiency,,
GAMESETUP_MONEY_RESEARCHMOD,Research Efficiency,,
GAMESETUP_AI_EASY,Easy,,
GAMESETUP_AI_NORMAL,Normal,,
GAMESETUP_AI_DIFFICULT,Difficult,,
GAMESETUP_NAME_DLGTEXT,Enter game name:,,
GAMESETUP_NAME_DEFAULT,"BSOTS 4.0 - ",,
GAMESETUP_OPTIONS_ALLIANCES,Alliances,,
GAMESETUP_OPTIONS_RANDOMENC,Random Encounters,,
GAMESETUP_OPTIONS_RANDOMENC_UNITS,%,,
GAMESETUP_OPTIONS_LOBBYPASS,Lobby Password,,
GAMESETUP_OPTIONS_CHANGEPASS,Change Password,,
GAMESETUP_OPTIONS_PLAYERPASS,Player Passwords,,
GAMESETUP_OPTIONS_ENTERPASSWORDTEXT,Enter password:,,
GAMESETUP_INITSAVINGS,Initial Treasury,,
GAMESETUP_INITCOLONIES,Initial Colonies,,
GAMESETUP_INITTECHS,Initial Technologies,,
GAMESETUP_TIME_STRATEGY_LABEL,Strategic Turn Length,,
GAMESETUP_TIME_STRATEGY_UNITS,sec,,seconds
GAMESETUP_TIME_STRATEGY_MAX,Unlimited,,
GAMESETUP_TIME_COMBAT_LABEL,Combat Turn Length,,
GAMESETUP_TIME_COMBAT_UNITS,sec,,seconds
GAMESETUP_LOAD_BTN,Load Game,,
GAMESETUP_LOAD_NAME,Game Name,,
GAMESETUP_LOAD_SELECT,Select saved game,,
GAMESETUP_SCENARIO_NUMPLAYERS,%s Players,127,params: number of players
GAMESETUP_SCENARIO_PAGETITLE_DESC,Description,,
GAMESETUP_SCENARIO_PAGETITLE_RULES,Rules,,
GAMESETUP_SCENARIO_PAGETITLE_OBJS,Objectives,,
GAMESETUP_PROGRESS,Initializing Game...,,game initializing dialog
GAMESETUP_SYSTEM_COUNT,Number of Stars,,
GAMESETUP_SYSTEM_DISTANCE,Distance
GAMESETUP_SYSTEM_DISTANCE_UNITS,ly
GAMESETUP_SYSTEM_SIZE,Size
GAMESETUP_SYSTEM_SIZE_UNITS,%
GAMESETUP_SYSTEM_RESOURCES,Resources
GAMESETUP_SYSTEM_RESOURCES_UNITS,%
GAMESETUP_SYSTEM_SUITABILITY,Suitability
GAMESETUP_SYSTEM_SUITABILITY_UNITS,%
GAMESETUP_SHAPES_TITLE,Select Shape

AIDESIGN_HUMAN_1,SFS Patton
AIDESIGN_HUMAN_2,SFS Glory
AIDESIGN_HUMAN_3,SFS Hood
AIDESIGN_HUMAN_4,SFS Bismark
AIDESIGN_HUMAN_5,Potemkin
AIDESIGN_HUMAN_6,Bismark
AIDESIGN_HUMAN_7,SFS Ardua
AIDESIGN_HUMAN_8,SFS Revenge
AIDESIGN_HUMAN_9,The Rodney
AIDESIGN_HUMAN_10,Indefatigable
AIDESIGN_HUMAN_11,SFS Yamato
AIDESIGN_HUMAN_12,Saratoga
AIDESIGN_HUMAN_13,Warhawk
AIDESIGN_HUMAN_14,Mustang
AIDESIGN_HUMAN_15,Catalina
AIDESIGN_HUMAN_16,New Jersey
AIDESIGN_HUMAN_17,SFS Wasp
AIDESIGN_HUMAN_18,Enterprise
AIDESIGN_HUMAN_19,SFS Hornet
AIDESIGN_HUMAN_20,Graf Spee
AIDESIGN_HUMAN_21,Nostromo
AIDESIGN_HUMAN_22,Botany Bay
AIDESIGN_HUMAN_23,Greyhound
AIDESIGN_HUMAN_24,Excalibur
AIDESIGN_HUMAN_25,SFS Avalon
AIDESIGN_HUMAN_26,Agamemnon
AIDESIGN_HUMAN_27,SFS Titan
AIDESIGN_HUMAN_28,SFS Exeter
AIDESIGN_HUMAN_29,SFS Achilles
AIDESIGN_HUMAN_30,SFS Ajax
AIDESIGN_HUMAN_31,Vancouver
AIDESIGN_HUMAN_32,SFS Sabre
AIDESIGN_HUMAN_33,St. Roche
AIDESIGN_HUMAN_34,SFS Kaga
AIDESIGN_HUMAN_35,SFS Hiryu
AIDESIGN_HUMAN_36,SFS Nimitz
AIDESIGN_HUMAN_37,U-172
AIDESIGN_HUMAN_38,Richelieu
AIDESIGN_HUMAN_39,SFS Javelin
AIDESIGN_HUMAN_40,SFS Fletcher
AIDESIGN_HUMAN_41,SFS Asimov
AIDESIGN_HUMAN_42,Scharnhorst
AIDESIGN_HUMAN_43,SFS Bolzano
AIDESIGN_HUMAN_44,SFS Akagi
AIDESIGN_HUMAN_45,SFS Myoko
AIDESIGN_HUMAN_46,Ark Royal
AIDESIGN_HUMAN_47,I-19
AIDESIGN_HUMAN_48,Le Terrible
AIDESIGN_HUMAN_49,SFS Astra

AIDESIGN_LIIR_1,Hatred
AIDESIGN_LIIR_2,Isolation
AIDESIGN_LIIR_3,Teacher
AIDESIGN_LIIR_4,Tender
AIDESIGN_LIIR_5,Feeder
AIDESIGN_LIIR_6,Enlightenment
AIDESIGN_LIIR_7,Perspective
AIDESIGN_LIIR_8,Blood Tide
AIDESIGN_LIIR_9,Pain
AIDESIGN_LIIR_10,Dark Current
AIDESIGN_LIIR_11,Regret
AIDESIGN_LIIR_12,Wave
AIDESIGN_LIIR_13,Despair
AIDESIGN_LIIR_14,Insight
AIDESIGN_LIIR_15,Frozen Sea
AIDESIGN_LIIR_16,Ice Storm
AIDESIGN_LIIR_17,Muur Aluu
AIDESIGN_LIIR_18,Shuulsi Ma
AIDESIGN_LIIR_19,Day Oluum
AIDESIGN_LIIR_20,Niishini Nu
AIDESIGN_LIIR_21,Uulani
AIDESIGN_LIIR_22,Shuu'nan
AIDESIGN_LIIR_23,Biima Bo
AIDESIGN_LIIR_24,Miirio Ma
AIDESIGN_LIIR_25,Wuuna Wan
AIDESIGN_LIIR_26,Liruuma
AIDESIGN_LIIR_27,Silence
AIDESIGN_LIIR_28,Aluurra
AIDESIGN_LIIR_29,Intensity
AIDESIGN_LIIR_30,Pained Action
AIDESIGN_LIIR_31,Duty and Guilt
AIDESIGN_LIIR_32,Black Racer
AIDESIGN_LIIR_33,Hiirru
AIDESIGN_LIIR_34,Olara Ma
AIDESIGN_LIIR_35,Lost Innocence
AIDESIGN_LIIR_36,Dark Singer

AIDESIGN_TARKAS_1,Little Heart
AIDESIGN_TARKAS_2,Bravestar
AIDESIGN_TARKAS_3,WarCry
AIDESIGN_TARKAS_4,EggTender
AIDESIGN_TARKAS_5,Warrior
AIDESIGN_TARKAS_6,Five Fist
AIDESIGN_TARKAS_7,Battle Fury
AIDESIGN_TARKAS_8,Fire Jewel
AIDESIGN_TARKAS_9,Star Slasher
AIDESIGN_TARKAS_10,Chaka
AIDESIGN_TARKAS_11,Digger
AIDESIGN_TARKAS_12,Throat Ripper
AIDESIGN_TARKAS_13,Rising Sun
AIDESIGN_TARKAS_14,Beaten Shield
AIDESIGN_TARKAS_15,Egg Thief
AIDESIGN_TARKAS_16,Kona Kal
AIDESIGN_TARKAS_17,Sardo Saani
AIDESIGN_TARKAS_18,Vaanu Var
AIDESIGN_TARKAS_19,Kogoru
AIDESIGN_TARKAS_20,Maasa Lac
AIDESIGN_TARKAS_21,Mek Kaan
AIDESIGN_TARKAS_22,Fane Orr
AIDESIGN_TARKAS_23,Velan Vu
AIDESIGN_TARKAS_24,Lao Kuum
AIDESIGN_TARKAS_25,Saak Tar
AIDESIGN_TARKAS_26,StarSpear
AIDESIGN_TARKAS_27,Volar Kaalu
AIDESIGN_TARKAS_28,WarNova
AIDESIGN_TARKAS_29,Honor Lance
AIDESIGN_TARKAS_30,Sanu Vel
AIDESIGN_TARKAS_31,Hankara
AIDESIGN_TARKAS_32,Silent Death
AIDESIGN_TARKAS_33,Ghost Reaper
AIDESIGN_TARKAS_34,Vornaku Kaan
AIDESIGN_TARKAS_35,Glory Bound

AIDESIGN_HIVER_1,Thunderous
AIDESIGN_HIVER_2,Queen's Ire
AIDESIGN_HIVER_3,Defender
AIDESIGN_HIVER_4,Vengeance
AIDESIGN_HIVER_5,Blossom
AIDESIGN_HIVER_6,Guardian
AIDESIGN_HIVER_7,Worker
AIDESIGN_HIVER_8,Warrior
AIDESIGN_HIVER_9,Ashes
AIDESIGN_HIVER_10,Goddess
AIDESIGN_HIVER_11,Black Queen
AIDESIGN_HIVER_12,Exquisite
AIDESIGN_HIVER_13,Martyr
AIDESIGN_HIVER_14,Rek Tuzok
AIDESIGN_HIVER_15,Mezek
AIDESIGN_HIVER_16,Zokis Gaz
AIDESIGN_HIVER_17,Chazak Ti
AIDESIGN_HIVER_18,Rizokis Hex
AIDESIGN_HIVER_19,Za'traxin
AIDESIGN_HIVER_20,Chep Tiza
AIDESIGN_HIVER_21,Ipriskin Ti
AIDESIGN_HIVER_22,Kek'kep
AIDESIGN_HIVER_23,Rapa Cha
AIDESIGN_HIVER_24,Feeder
AIDESIGN_HIVER_25,The Way
AIDESIGN_HIVER_26,The Path
AIDESIGN_HIVER_27,Burrower
AIDESIGN_HIVER_28,Churo Zek
AIDESIGN_HIVER_29,HiveBound
AIDESIGN_HIVER_30,FireWorm
AIDESIGN_HIVER_31,Sacrifice
AIDESIGN_HIVER_32,Blood Princess
AIDESIGN_HIVER_33,Echelon
AIDESIGN_HIVER_34,Concordance
AIDESIGN_HIVER_35,ClanShield
AIDESIGN_HIVER_36,Shifting Ground

AIDESIGN_ZUUL_1,Law-giver
AIDESIGN_ZUUL_2,Ravenous
AIDESIGN_ZUUL_3,Redeemer
AIDESIGN_ZUUL_4,Retribution
AIDESIGN_ZUUL_5,Zealous
AIDESIGN_ZUUL_6,Hammer Claw
AIDESIGN_ZUUL_7,Red Fang
AIDESIGN_ZUUL_8,Inquisitor
AIDESIGN_ZUUL_9,Shatterbone
AIDESIGN_ZUUL_10,Imperator
AIDESIGN_ZUUL_11,Bangkoap
AIDESIGN_ZUUL_12,Aek Areach
AIDESIGN_ZUUL_13,Machaskar
AIDESIGN_ZUUL_14,Thlaoem Khmav
AIDESIGN_ZUUL_15,Thlaoem Thom
AIDESIGN_ZUUL_16,Khoeng
AIDESIGN_ZUUL_17,Chett Thom
AIDESIGN_ZUUL_18,Tveu Tam
AIDESIGN_ZUUL_19,Korop
AIDESIGN_ZUUL_20,Dach Chett
AIDESIGN_ZUUL_21,Maiestatis
AIDESIGN_ZUUL_22,Ligator
AIDESIGN_ZUUL_23,Veritatis
AIDESIGN_ZUUL_24,Virtutis
AIDESIGN_ZUUL_25,Mandatum
AIDESIGN_ZUUL_26,Invictus
AIDESIGN_ZUUL_27,Incorruptus
AIDESIGN_ZUUL_28,Iudex
AIDESIGN_ZUUL_29,Tyrannus
AIDESIGN_ZUUL_30,Merus
AIDESIGN_ZUUL_31,Karangsoek
AIDESIGN_ZUUL_32,Santesokh
AIDESIGN_ZUUL_33,Baos Samat
AIDESIGN_ZUUL_34,Sangkat
AIDESIGN_ZUUL_35,Kum Kuon
AIDESIGN_ZUUL_36,Si Sach
AIDESIGN_ZUUL_37,Amnach
AIDESIGN_ZUUL_38,Kamlang
AIDESIGN_ZUUL_39,Pchanh Pchal
AIDESIGN_ZUUL_40,Etthi Pol

AIDESIGN_MORRIGI_1,Thiva's Dream
AIDESIGN_MORRIGI_2,Akilleos' Wrath
AIDESIGN_MORRIGI_3,Khan's Fist
AIDESIGN_MORRIGI_4,Purpose Served
AIDESIGN_MORRIGI_5,Fire Bringer
AIDESIGN_MORRIGI_6,Ruins of Muur
AIDESIGN_MORRIGI_7,Terra's End
AIDESIGN_MORRIGI_8,Ke'Kona's Sorrow
AIDESIGN_MORRIGI_9,Tcho'to Pre's Tears
AIDESIGN_MORRIGI_10,Zuul-Scourge
AIDESIGN_MORRIGI_11,War's End
AIDESIGN_MORRIGI_12,Profit's Price
AIDESIGN_MORRIGI_13,Whip Strike
AIDESIGN_MORRIGI_14,Holy Defender
AIDESIGN_MORRIGI_15,Shield Arm
AIDESIGN_MORRIGI_16,Darkness Shatters
AIDESIGN_MORRIGI_17,Screams in Anger
AIDESIGN_MORRIGI_18,Deshret Quaab
AIDESIGN_MORRIGI_19,Tzemeteos
AIDESIGN_MORRIGI_20,Fuxhal
AIDESIGN_MORRIGI_21,Ulukh Mahmedh
AIDESIGN_MORRIGI_22,Tengri Kleos
AIDESIGN_MORRIGI_23,WingStrike
AIDESIGN_MORRIGI_24,Anger's Edge
AIDESIGN_MORRIGI_25,Force Restrained
AIDESIGN_MORRIGI_26,Dark Reflection
AIDESIGN_MORRIGI_27,Remembrance
AIDESIGN_MORRIGI_28,Mountain Peak
AIDESIGN_MORRIGI_29,Abyssal Form
AIDESIGN_MORRIGI_30,Risk and Profit
AIDESIGN_MORRIGI_31,Urn of Resolution
AIDESIGN_MORRIGI_32,CoinTosser
AIDESIGN_MORRIGI_33,Hunter's Moon
AIDESIGN_MORRIGI_34,Slayer of Beasts
AIDESIGN_MORRIGI_35,Teacher of Children
AIDESIGN_MORRIGI_36,Bitter Solace

AIPLAYER_HUMAN_1,Montgomery E. Crabapple
AIPLAYER_HUMAN_2,United Consortia of Earth
AIPLAYER_HUMAN_3,SolForce Renegades
AIPLAYER_HUMAN_4,Khan Noonien Singh
AIPLAYER_HUMAN_5,Gully Foyle
AIPLAYER_HUMAN_6,The Mule
AIPLAYER_HUMAN_7,Aiken Drum
AIPLAYER_HUMAN_8,Legions of Tiberius Magnus
AIPLAYER_HUMAN_9,SolForce
AIPLAYER_HUMAN_10,Revenge Fleet
AIPLAYER_HUMAN_11,Captain Flandry
AIPLAYER_HUMAN_12,Rimward Mercs
AIPLAYER_HUMAN_13,Hope Hubris
AIPLAYER_HUMAN_14,Marc Remillard
AIPLAYER_HUMAN_15,Wu Zetian
AIPLAYER_HUMAN_16,Queen Talleah
AIPLAYER_HUMAN_17,First Imperium

AIPLAYER_TARKAS_1,Var'Ish Tho'Orr
AIPLAYER_TARKAS_2,Imperial Armada
AIPLAYER_TARKAS_3,Angels of Sardo Kal
AIPLAYER_TARKAS_4,Fane Lao
AIPLAYER_TARKAS_5,Vaanu Hanakuum
AIPLAYER_TARKAS_6,"Kaan, Kokari, Kogoru"
AIPLAYER_TARKAS_7,Sara Jardok
AIPLAYER_TARKAS_8,Tars Tarkas
AIPLAYER_TARKAS_9,Tarka Concordiate
AIPLAYER_TARKAS_10,Varrush Wing
AIPLAYER_TARKAS_11,Var Kona's Legions
AIPLAYER_TARKAS_12,Fen Law
AIPLAYER_TARKAS_13,Var'Sardo Ko'Taal
AIPLAYER_TARKAS_14,The Eternal Empire
AIPLAYER_TARKAS_15,The Imperial Domain
AIPLAYER_TARKAS_16,Fane Kona

AIPLAYER_HIVER_1,The Children
AIPLAYER_HIVER_2,Clans of Fire Lotus
AIPLAYER_HIVER_3,Blood-Dappled Blossom
AIPLAYER_HIVER_4,Motherless Sons
AIPLAYER_HIVER_5,Vagabond Princess
AIPLAYER_HIVER_6,Cheken'zek
AIPLAYER_HIVER_7,Queen's Dominion
AIPLAYER_HIVER_8,Imperial Hive
AIPLAYER_HIVER_9,Hiver Expanse
AIPLAYER_HIVER_10,Ravenous Cycle
AIPLAYER_HIVER_11,The Lost
AIPLAYER_HIVER_12,Queen Chaka'zek
AIPLAYER_HIVER_13,The Mad Brood
AIPLAYER_HIVER_14,The Twelve Regents
AIPLAYER_HIVER_15,The Kyzan Domain
AIPLAYER_HIVER_16,Matriarchate of Che'Kor

AIPLAYER_LIIR_1,Black Swimmers
AIPLAYER_LIIR_2,The Drowned
AIPLAYER_LIIR_3,Song of Fire
AIPLAYER_LIIR_4,Merciful Ones
AIPLAYER_LIIR_5,Song of the Void
AIPLAYER_LIIR_6,Defenders of Muur
AIPLAYER_LIIR_7,Silent Scream
AIPLAYER_LIIR_8,Painful Burden
AIPLAYER_LIIR_9,Liirian Commonwealth
AIPLAYER_LIIR_10,Defenders of Life
AIPLAYER_LIIR_11,The Unchained
AIPLAYER_LIIR_12,Warriors of Mind
AIPLAYER_LIIR_13,Steelweavers
AIPLAYER_LIIR_14,The Sleepless
AIPLAYER_LIIR_15,The Unsinging
AIPLAYER_LIIR_16,Wardens of Darkness

AIPLAYER_ZUUL_1,The Pure
AIPLAYER_ZUUL_2,The Righteous
AIPLAYER_ZUUL_3,The Chosen
AIPLAYER_ZUUL_4,The Seekers
AIPLAYER_ZUUL_5,The Divine
AIPLAYER_ZUUL_6,The Blessed
AIPLAYER_ZUUL_7,The Enlightened
AIPLAYER_ZUUL_8,The Inheritors
AIPLAYER_ZUUL_9,The Faithful
AIPLAYER_ZUUL_10,The Servants
AIPLAYER_ZUUL_11,The Devoted
AIPLAYER_ZUUL_12,The First-Born

AIPLAYER_MORRIGI_1,Temujin the First
AIPLAYER_MORRIGI_2,Ogodei the Golden
AIPLAYER_MORRIGI_3,Chagadai the Black
AIPLAYER_MORRIGI_4,Khabul of the Burning Cities
AIPLAYER_MORRIGI_5,Yaziid the Wicked
AIPLAYER_MORRIGI_6,Rhaghab of the Red Moon
AIPLAYER_MORRIGI_7,Djutmeos the Savage
AIPLAYER_MORRIGI_8,Akhilleos the Swift
AIPLAYER_MORRIGI_9,Atreus the Bloody
AIPLAYER_MORRIGI_10,Xhodysseos the Cunning
